ProjectID,RequiredRole,PrimarySkill,SecondarySkill,MinExperienceYears,RequiredEmployees
P001,Sales Executive,Sales Strategy,CRM Tools,3,2
P001,Sales Representative,Client Acquisition,Negotiation,2,2
P001,Manager,People Management,Strategic Planning,6,1
P003,Healthcare Representative,Medical Sales,Product Knowledge,3,2
P003,Sales Executive,Sales Strategy,Negotiation,4,2
P004,Manager,Operations Management,Strategic Planning,6,1
P006,Research Scientist,Data Analysis,Python,5,2
P006,Laboratory Technician,Laboratory Operations,Quality Control,2,3
P006,Research Director,Research Leadership,Strategic Planning,8,1
P007,Laboratory Technician,Laboratory Operations,Process Optimization,3,2
P007,Manufacturing Director,Operations Management,Strategic Planning,7,1
P008,Research Scientist,Data Analysis,Python,5,3
P008,Research Director,Research Leadership,Strategic Planning,8,1
P009,Laboratory Technician,Laboratory Operations,Quality Control,3,2
P009,Research Scientist,Data Analysis,Python,4,1
P011,Human Resources,Talent Management,Employee Engagement,3,2
P011,Manager,People Management,Project Planning,5,1
P012,Human Resources,Talent Management,Employee Engagement,4,2
P012,Manager,People Management,Strategic Planning,6,1
P013,Manager,People Management,Strategic Planning,5,1
P014,Human Resources,Talent Management,Employee Engagement,2,2
P015,Human Resources,Talent Management,Strategic Planning,4,2
